x,y,_index
6840,3870,23321672420490
6240,3870,23321672421090
5640,3870,23321672421690
5040,3870,23321672422290
4290,3870,23321672423040
3210,3870,23321672424120
2610,3870,23321672424720
2010,3870,23321672425320
1410,3870,23321672425920
810,3870,23321672426520
210,3870,23321672427120
6690,3840,23450521439520
6090,3840,23450521440120
5490,3840,23450521440720
4890,3840,23450521441320
4140,3840,23450521442070
3060,3840,23450521443150
2460,3840,23450521443750
1650,3840,23450521444560
1050,3840,23450521445160
450,3840,23450521445760
6840,3810,23579370458250
6240,3810,23579370458850
5640,3810,23579370459450
5040,3810,23579370460050
4260,3810,23579370460830
3150,3810,23579370461940
2550,3810,23579370462540
1740,3810,23579370463350
1140,3810,23579370463950
540,3810,23579370464550
6930,3780,23708219477040
6270,3780,23708219477700
5670,3780,23708219478300
5070,3780,23708219478900
4470,3780,23708219479500
3180,3780,23708219480790
2580,3780,23708219481390
1800,3780,23708219482170
1200,3780,23708219482770
600,3780,23708219483370
6930,3750,23837068495920
6210,3750,23837068496640
5610,3750,23837068497240
5010,3750,23837068497840
4200,3750,23837068498650
3090,3750,23837068499760
2490,3750,23837068500360
1710,3750,23837068501140
1110,3750,23837068501740
510,3750,23837068502340
6780,3720,23965917514950
6180,3720,23965917515550
5580,3720,23965917516150
4980,3720,23965917516750
4170,3720,23965917517560
3090,3720,23965917518640
2490,3720,23965917519240
1740,3720,23965917519990
1140,3720,23965917520590
540,3720,23965917521190
6780,3690,24094766533830
6180,3690,24094766534430
5580,3690,24094766535030
4980,3690,24094766535630
3840,3690,24094766536770
3120,3690,24094766537490
2340,3690,24094766538270
1620,3690,24094766538990
1020,3690,24094766539590
420,3690,24094766540190
6600,3660,24223615552890
6000,3660,24223615553490
5400,3660,24223615554090
4800,3660,24223615554690
3510,3660,24223615555980
2910,3660,24223615556580
2010,3660,24223615557480
1410,3660,24223615558080
810,3660,24223615558680
210,3660,24223615559280
6360,3630,24352464572010
5760,3630,24352464572610
5160,3630,24352464573210
4260,3630,24352464574110
3270,3630,24352464575100
2520,3630,24352464575850
1830,3630,24352464576540
1230,3630,24352464577140
630,3630,24352464577740
6750,3600,24481313590500
6150,3600,24481313591100
5550,3600,24481313591700
4950,3600,24481313592300
3660,3600,24481313593590
2970,3600,24481313594280
2280,3600,24481313594970
1590,3600,24481313595660
990,3600,24481313596260
390,3600,24481313596860
6480,3570,24610162609650
5880,3570,24610162610250
5280,3570,24610162610850
4230,3570,24610162611900
3210,3570,24610162612920
2550,3570,24610162613580
1860,3570,24610162614270
1260,3570,24610162614870
660,3570,24610162615470
6690,3540,24739011628320
6090,3540,24739011628920
5490,3540,24739011629520
4890,3540,24739011630120
3300,3540,24739011631710
2670,3540,24739011632340
2010,3540,24739011633000
1410,3540,24739011633600
810,3540,24739011634200
210,3540,24739011634800
6180,3510,24867860647710
5580,3510,24867860648310
4980,3510,24867860648910
3300,3510,24867860650590
2700,3510,24867860651190
